name,hex,red,green,blue,group
CornflowerBlue, #6495ED, 100, 149, 237, Blue
DeepSkyBlue, #00BFFF, 0, 191, 255, Blue
DodgerBlue, #1E90FF, 30, 144, 255, Blue
RoyalBlue, #4169E1, 65, 105, 225, Blue
Blue, #0000FF, 0, 0, 255, Blue
MediumBlue, #0000CD, 0, 0, 205, Blue
DarkBlue, #00008B, 0, 0, 139, Blue
Navy, #000080, 0, 0, 128, Blue
MidnightBlue, #191970, 25, 25, 112, Blue
Cornsilk, #FFF8DC, 255, 248, 220, Brown
BlanchedAlmond, #FFEBCD, 255, 235, 205, Brown
Bisque, #FFE4C4, 255, 228, 196, Brown
NavajoWhite, #FFDEAD, 255, 222, 173, Brown
Wheat, #F5DEB3, 245, 222, 179, Brown
BurlyWood, #DEB887, 222, 184, 135, Brown
Tan, #D2B48C, 210, 180, 140, Brown
RosyBrown, #BC8F8F, 188, 143, 143, Brown
SandyBrown, #F4A460, 244, 164, 96, Brown
GoldenRod, #DAA520, 218, 165, 32, Brown
DarkGoldenRod, #B8860B, 184, 134, 11, Brown
Peru, #CD853F, 205, 133, 63, Brown
Chocolate, #D2691E, 210, 105, 30, Brown
Olive, #808000, 128, 128, 0, Brown
SaddleBrown, #8B4513, 139, 69, 19, Brown
Sienna, #A0522D, 160, 82, 45, Brown
Brown, #A52A2A, 165, 42, 42, Brown
Maroon, #800000, 128, 0, 0, Brown
White, #FFFFFF, 255, 255, 255, White
Snow, #FFFAFA, 255, 250, 250, White
HoneyDew, #F0FFF0, 240, 255, 240, White
MintCream, #F5FFFA, 245, 255, 250, White
Azure, #F0FFFF, 240, 255, 255, White
AliceBlue, #F0F8FF, 240, 248, 255, White
GhostWhite, #F8F8FF, 248, 248, 255, White
WhiteSmoke, #F5F5F5, 245, 245, 245, White
SeaShell, #FFF5EE, 255, 245, 238, White
Beige, #F5F5DC, 245, 245, 220, White
OldLace, #FDF5E6, 253, 245, 230, White
FloralWhite, #FFFAF0, 255, 250, 240, White
Ivory, #FFFFF0, 255, 255, 240, White
AntiqueWhite, #FAEBD7, 250, 235, 215, White
Linen, #FAF0E6, 250, 240, 230, White
LavenderBlush, #FFF0F5, 255, 240, 245, White
MistyRose, #FFE4E1, 255, 228, 225, White
Gainsboro, #DCDCDC, 220, 220, 220, Grey
LightGray, #D3D3D3, 211, 211, 211, Grey
Silver, #C0C0C0, 192, 192, 192, Grey
DarkGray, #A9A9A9, 169, 169, 169, Grey
DimGray, #696969, 105, 105, 105, Grey
Gray, #808080, 128, 128, 128, Grey
LightSlateGray, #778899, 119, 136, 153, Grey
SlateGray, #708090, 112, 128, 144, Grey
DarkSlateGray, #2F4F4F, 47, 79, 79, Grey
Black, #000000, 0, 0, 0, Grey
